,artist_genre,artist_name,time_range,track_id,track_name
150,dance pop,Mariah Carey,short_term,1bCQIvugIRkL0yLG5cvQcZ,All I Want for Christmas Is You
151,pop,Mariah Carey,short_term,1bCQIvugIRkL0yLG5cvQcZ,All I Want for Christmas Is You
152,r&b,Mariah Carey,short_term,1bCQIvugIRkL0yLG5cvQcZ,All I Want for Christmas Is You
153,urban contemporary,Mariah Carey,short_term,1bCQIvugIRkL0yLG5cvQcZ,All I Want for Christmas Is You
154,c-pop,Leslie Cheung,short_term,21pfcRjH4iqUg7EliHMI4J,飛機師的風衣
155,cantopop,Leslie Cheung,short_term,21pfcRjH4iqUg7EliHMI4J,飛機師的風衣
156,classic cantopop,Leslie Cheung,short_term,21pfcRjH4iqUg7EliHMI4J,飛機師的風衣
157,classical,Sergei Rachmaninoff,short_term,256pkGJdfTu88nGtOUuDp7,"Concerto pour Piano et Orchestre No. 4 en Sol Mineur, Op. 40: II. Largo"
158,post-romantic era,Sergei Rachmaninoff,short_term,256pkGJdfTu88nGtOUuDp7,"Concerto pour Piano et Orchestre No. 4 en Sol Mineur, Op. 40: II. Largo"
159,russian romanticism,Sergei Rachmaninoff,short_term,256pkGJdfTu88nGtOUuDp7,"Concerto pour Piano et Orchestre No. 4 en Sol Mineur, Op. 40: II. Largo"
160,ukrainian classical,Sergei Rachmaninoff,short_term,256pkGJdfTu88nGtOUuDp7,"Concerto pour Piano et Orchestre No. 4 en Sol Mineur, Op. 40: II. Largo"
161,cali rap,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
162,gangster rap,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
163,hyphy,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
164,rap,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
165,southern hip hop,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
166,trap,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
167,west coast trap,Problem,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self
168,turntablism,C2C,medium_term,1SayqEg8HKK2IeIEWjdYxY,Down The Road
169,escape room,Anderson .Paak,medium_term,6BvtitRX5lQC87YlA6rq0n,Bubblin
170,escape room,Anderson .Paak,medium_term,70pZIQqQ37SrNCADx0FiPN,Jet Black (feat. Brandy)
171,k-hop,DPR LIVE,medium_term,4tJl1AVYE6WFAWtuAEhxpM,Please
172,k-pop,DPR LIVE,medium_term,4tJl1AVYE6WFAWtuAEhxpM,Please
173,korean r&b,DPR LIVE,medium_term,4tJl1AVYE6WFAWtuAEhxpM,Please
174,j-pop,androp,medium_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi
175,j-rock,androp,medium_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi
176,japanese alternative rock,androp,medium_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi
177,escape room,Anderson .Paak,medium_term,4SBVWkRIMJ6WBCYPvr5Bwr,Make It Better (feat. Smokey Robinson)
178,turntablism,C2C,medium_term,5gtuTd7og1AADSAa2oYy3m,Delta
179,metal guitar,Paul Gilbert,medium_term,7lil49sUFoQaFGhLQNRgH6,I Own a Building
180,neo classical metal,Paul Gilbert,medium_term,7lil49sUFoQaFGhLQNRgH6,I Own a Building
181,shred,Paul Gilbert,medium_term,7lil49sUFoQaFGhLQNRgH6,I Own a Building
182,gangster rap,The Game,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo
183,hip hop,The Game,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo
184,pop rap,The Game,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo
185,rap,The Game,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo
186,southern hip hop,The Game,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo
187,trap,The Game,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo
188,anime rock,Official HIGE DANdism,medium_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star
189,j-pop,Official HIGE DANdism,medium_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star
190,neo mellow,John Mayer,medium_term,3SktMqZmo3M9zbB7oKMIF7,Gravity
191,pop,John Mayer,medium_term,3SktMqZmo3M9zbB7oKMIF7,Gravity
192,pop rock,John Mayer,medium_term,3SktMqZmo3M9zbB7oKMIF7,Gravity
193,singer-songwriter,John Mayer,medium_term,3SktMqZmo3M9zbB7oKMIF7,Gravity
194,late romantic era,Pablo de Sarasate,medium_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24
195,violin,Pablo de Sarasate,medium_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24
196,conscious hip hop,J. Cole,medium_term,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD
197,hip hop,J. Cole,medium_term,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD
198,nc hip hop,J. Cole,medium_term,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD
199,pop rap,J. Cole,medium_term,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD
200,rap,J. Cole,medium_term,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD
201,escape room,Anderson .Paak,medium_term,5ri4b7YQp2PWn8tl3MRYgE,King James
202,boston hip hop,Joyner Lucas,medium_term,36TO60sxDduIsO3xH8IcUh,Isis
203,hip hop,Joyner Lucas,medium_term,36TO60sxDduIsO3xH8IcUh,Isis
204,pop rap,Joyner Lucas,medium_term,36TO60sxDduIsO3xH8IcUh,Isis
205,rap,Joyner Lucas,medium_term,36TO60sxDduIsO3xH8IcUh,Isis
206,japanese jazz,fox capture plan,medium_term,19g05c3N1AuJ5qcdsqg8qS,LIFE
207,japanese math rock,fox capture plan,medium_term,19g05c3N1AuJ5qcdsqg8qS,LIFE
208,japanese post-rock,fox capture plan,medium_term,19g05c3N1AuJ5qcdsqg8qS,LIFE
209,turntablism,C2C,medium_term,78orLDLxWpOZINipGYrV0g,Who Are You
