,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
12,"['j-pop', 'j-rock', 'visual kei']",ONE OK ROCK,0.000782,0.427,0.99,0.0,5,0.0956,-3.55,1,0.184,195.051,0.491,13,long_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku,46,2010-06-09,F
13,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",J. Cole,0.302,0.696,0.521,0.0,10,0.0565,-8.465,0,0.332,100.0,0.458,14,long_term,62vpWI1CHwFy7tMIcSStl8,No Role Modelz,83,2014-12-09,A#
14,"['dance pop', 'edm', 'pop']",David Guetta,0.00125,0.614,0.972,0.0186,5,0.328,-3.927,0,0.088,127.966,0.411,15,long_term,6eIacmhkE82vZlMDnGS7aP,Bad (feat. Vassy) - Radio Edit,67,2014-11-21,F
15,['pop'],Bruno Mars,0.013,0.853,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,0.86,16,long_term,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,83,2016-11-17,C#
16,"['c-pop', 'mandopop', 'taiwan pop']",Jay Chou,0.14,0.543,0.428,0.0,9,0.0876,-8.966,1,0.0262,112.985,0.173,17,long_term,04x6DpeFQ72efXsD0DmWPQ,明明就,57,2012-12-28,A
17,"['cali rap', 'gangster rap', 'hyphy', 'rap', 'southern hip hop', 'trap', 'west coast trap']",Problem,0.0559,0.841,0.78,0.0,10,0.199,-6.424,0,0.172,100.031,0.382,18,long_term,5jCsMKfXS6NEJTIC4eCyu3,Betta Watch Yo Self,0,2017-01-20,A#
18,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,0.0538,0.487,0.729,4.07e-06,2,0.44,-6.815,1,0.271,91.048,0.217,19,long_term,3qX1dqmDdmMvvfMVfsx4Bh,m.A.A.d city,68,2012-10-22,D
19,"['k-hop', 'k-indie', 'k-pop', 'korean pop', 'korean r&b']",Zion.T,0.544,0.628,0.284,5.01e-06,4,0.121,-11.629,1,0.102,91.131,0.354,20,long_term,6ToAD7ajJidQTDn72OncDG,꺼내 먹어요 (Eat),1,2015-05-19,E
20,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,0.000282,0.908,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,0.421,21,long_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,85,2017-04-14,C#
21,"['classical', 'early modern classical', 'finnish classical', 'post-romantic era']",Jean Sibelius,0.889,0.251,0.183,0.0468,10,0.317,-19.801,1,0.0441,108.725,0.087,22,long_term,1amhCqDxkHGhQMv1Ss9OJs,"Sibelius: Violin Concerto in D Minor, Op. 47: I. Allegro moderato",37,2015-09-25,A#
22,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.092,0.925,0.737,0.0,8,0.169,-1.292,1,0.0777,133.946,0.603,23,long_term,0Zh5U48tZNeAzzLTV1CVBE,Forgot About Dre,16,1999-01-01,G#
23,"['k-hop', 'k-indie', 'k-pop', 'korean pop']",Primary,0.224,0.702,0.738,0.0,3,0.119,-3.481,0,0.125,95.977,0.922,24,long_term,1PDfg5XSNpgC7Od0iMozfE,"? (물음표) (feat. 최자 of 다이나믹듀오, Zion.T)",0,2013-08-02,D#
24,"['classical', 'early romantic era']",Felix Mendelssohn,0.982,0.392,0.129,0.928,11,0.118,-21.389,0,0.0368,139.804,0.0952,25,long_term,1XlvyqVNz36t1CyWF3HQIM,"Capriccio brillant in B Minor, Op. 22",10,1993-11-16,B
25,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",Eminem,0.0627,0.876,0.786,0.0,10,0.127,-4.884,0,0.306,153.068,0.575,26,long_term,60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),82,2018-08-31,A#
26,"['c-pop', 'mandopop', 'taiwan pop']",Jay Chou,0.0294,0.367,0.726,0.0,4,0.337,-6.773,1,0.0341,172.121,0.271,27,long_term,0nt1LAZjaTjrf30S8hdRDU,聽見下雨的聲音,59,2014-12-26,E
