,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
84,27,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人,47,1996-11-26,cantopop,Leslie Cheung,C,0.541,0.38,0,-12.094000000000001,1,0.027000000000000003,0.716,9.56e-06,0.32899999999999996,0.192,72.015,3
85,27,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人,47,1996-11-26,classic cantopop,Leslie Cheung,C,0.541,0.38,0,-12.094000000000001,1,0.027000000000000003,0.716,9.56e-06,0.32899999999999996,0.192,72.015,3
86,28,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest,73,2018-08-31,detroit hip hop,Eminem,C#,0.809,0.737,1,-5.186,1,0.10800000000000001,0.0441,0.0,0.341,0.36700000000000005,80.025,4
87,28,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest,73,2018-08-31,g funk,Eminem,C#,0.809,0.737,1,-5.186,1,0.10800000000000001,0.0441,0.0,0.341,0.36700000000000005,80.025,4
88,28,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest,73,2018-08-31,hip hop,Eminem,C#,0.809,0.737,1,-5.186,1,0.10800000000000001,0.0441,0.0,0.341,0.36700000000000005,80.025,4
89,28,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest,73,2018-08-31,rap,Eminem,C#,0.809,0.737,1,-5.186,1,0.10800000000000001,0.0441,0.0,0.341,0.36700000000000005,80.025,4
90,29,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,71,1999-11-16,g funk,Dr. Dre,A#,0.922,0.909,10,-2.4290000000000003,0,0.27,0.0281,0.0,0.0856,0.309,95.295,5
91,29,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,71,1999-11-16,gangster rap,Dr. Dre,A#,0.922,0.909,10,-2.4290000000000003,0,0.27,0.0281,0.0,0.0856,0.309,95.295,5
92,29,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,71,1999-11-16,hip hop,Dr. Dre,A#,0.922,0.909,10,-2.4290000000000003,0,0.27,0.0281,0.0,0.0856,0.309,95.295,5
93,29,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,71,1999-11-16,rap,Dr. Dre,A#,0.922,0.909,10,-2.4290000000000003,0,0.27,0.0281,0.0,0.0856,0.309,95.295,5
94,29,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,71,1999-11-16,west coast rap,Dr. Dre,A#,0.922,0.909,10,-2.4290000000000003,0,0.27,0.0281,0.0,0.0856,0.309,95.295,5
95,30,short_term,5JruqgGPc5ImJixUyFRHr7,"Piano Concerto No. 1 in G Minor, Op. 25, MWV O7: 3. Presto",15,2003-01-01,classical,Felix Mendelssohn,G,0.44799999999999995,0.177,7,-20.146,1,0.0352,0.98,0.9159999999999999,0.05,0.33399999999999996,87.762,2
96,30,short_term,5JruqgGPc5ImJixUyFRHr7,"Piano Concerto No. 1 in G Minor, Op. 25, MWV O7: 3. Presto",15,2003-01-01,early romantic era,Felix Mendelssohn,G,0.44799999999999995,0.177,7,-20.146,1,0.0352,0.98,0.9159999999999999,0.05,0.33399999999999996,87.762,2
